Problem Name,Problem Description,Solution
A Number After a Double Reversal,###  2119\. A Number After a Double Reversal\n\n**Reversing** an integer means to reverse all its digits.\n\n  * For example reversing `2021` gives `1202`. Reversing `12300` gives `321` as the **leading zeros are not retained**.\n\nGiven an integer `num` **reverse** `num` to get `reversed1` **then reverse**\n`reversed1` to get `reversed2`. Return `true` _if_ `reversed2` _equals_ `num`.\nOtherwise return `false`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** num = 526\n    **Output:** true\n    **Explanation:** Reverse num to get 625 then reverse 625 to get 526 which equals num.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** num = 1800\n    **Output:** false\n    **Explanation:** Reverse num to get 81 then reverse 81 to get 18 which does not equal num.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** num = 0\n    **Output:** true\n    **Explanation:** Reverse num to get 0 then reverse 0 to get 0 which equals num.\n    \n\n\n\n**Constraints:**\n\n  * `0 <= num <= 106`\n\n,"class Solution(object):\n    def isSameAfterReversals(self num):\n		# All you have to do is check the Trailing zeros\n        return num == 0 or num % 10  # num % 10 means num % 10 != 0\n"
Abbreviating the Product of a Range,"###  2117\. Abbreviating the Product of a Range\n\nYou are given two positive integers `left` and `right` with `left <= right`.\nCalculate the **product** of all integers in the **inclusive** range `[left\nright]`.\n\nSince the product may be very large you will **abbreviate** it following\nthese steps:\n\n  1. Count all **trailing** zeros in the product and **remove** them. Let us denote this count as `C`. \n     * For example there are `3` trailing zeros in `1000` and there are `0` trailing zeros in `546`.\n  2. Denote the remaining number of digits in the product as `d`. If `d > 10` then express the product as `<pre>...<suf>` where `<pre>` denotes the **first** `5` digits of the product and `<suf>` denotes the **last** `5` digits of the product **after** removing all trailing zeros. If `d <= 10` we keep it unchanged. \n     * For example we express `1234567654321` as `12345...54321` but `1234567` is represented as `1234567`.\n  3. Finally represent the product as a **string** `""<pre>...<suf>eC""`. \n     * For example `12345678987600000` will be represented as `""12345...89876e5""`.\n\nReturn _a string denoting the**abbreviated product** of all integers in the\n**inclusive** range_ `[left right]`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** left = 1 right = 4\n    **Output:** ""24e0""\n    **Explanation:** The product is 1 × 2 × 3 × 4 = 24.\n    There are no trailing zeros so 24 remains the same. The abbreviation will end with ""e0"".\n    Since the number of digits is 2 which is less than 10 we do not have to abbreviate it further.\n    Thus the final representation is ""24e0"".\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** left = 2 right = 11\n    **Output:** ""399168e2""\n    **Explanation:** The product is 39916800.\n    There are 2 trailing zeros which we remove to get 399168. The abbreviation will end with ""e2"".\n    The number of digits after removing the trailing zeros is 6 so we do not abbreviate it further.\n    Hence the abbreviated product is ""399168e2"".\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** left = 371 right = 375\n    **Output:** ""7219856259e3""\n    **Explanation:** The product is 7219856259000.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= left <= right <= 104`\n\n",class Solution:\n    def abbreviateProduct(self left: int right: int) -> str:\n        c2 = c5 = 0\n        top12 = tail5 = 1\n\n        for i in range(left right+1):\n            # count and remove all 2 and 5\n            while i % 2 == 0:\n                i //= 2\n                c2 += 1\n            while i % 5 == 0:\n                i //= 5\n                c5 += 1\n\n            # track top 12 and last 5\n            top12 = int(str(top12 * i)[:12])\n            tail5 = tail5 * i % 100000\n        \n        # multiply the remained 2 or 5\n        if c2 > c5:\n            for _ in range(c2 - c5):\n                top12 = int(str(top12 * 2)[:12])\n                tail5 = tail5 * 2 % 100000\n        elif c2 < c5:\n            for _ in range(c5 - c2):\n                top12 = int(str(top12 * 5)[:12])\n                tail5 = tail5 * 5 % 100000\n\n        zero = min(c2 c5)\n\n        # as is included in top 12 it's easy to tell when d<=10\n        if len(str(top12))<=10:\n            return str(top12)+'e'+str(zero)\n        \n        return str(top12)[:5] + '.'*3 + '0'*(5-len(str(tail5)))+str(tail5)+'e'+str(zero)\n
Accounts Merge,"###  721\. Accounts Merge\n\nGiven a list of `accounts` where each element `accounts[i]` is a list of\nstrings where the first element `accounts[i][0]` is a name and the rest of\nthe elements are **emails** representing emails of the account.\n\nNow we would like to merge these accounts. Two accounts definitely belong to\nthe same person if there is some common email to both accounts. Note that even\nif two accounts have the same name they may belong to different people as\npeople could have the same name. A person can have any number of accounts\ninitially but all of their accounts definitely have the same name.\n\nAfter merging the accounts return the accounts in the following format: the\nfirst element of each account is the name and the rest of the elements are\nemails **in sorted order**. The accounts themselves can be returned in **any\norder**.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** accounts = [[""John""""johnsmith@mail.com""""john_newyork@mail.com""][""John""""johnsmith@mail.com""""john00@mail.com""][""Mary""""mary@mail.com""][""John""""johnnybravo@mail.com""]]\n    **Output:** [[""John""""john00@mail.com""""john_newyork@mail.com""""johnsmith@mail.com""][""Mary""""mary@mail.com""][""John""""johnnybravo@mail.com""]]\n    **Explanation:**\n    The first and second John's are the same person as they have the common email ""johnsmith@mail.com"".\n    The third John and Mary are different people as none of their email addresses are used by other accounts.\n    We could return these lists in any order for example the answer [['Mary' 'mary@mail.com'] ['John' 'johnnybravo@mail.com'] \n    ['John' 'john00@mail.com' 'john_newyork@mail.com' 'johnsmith@mail.com']] would still be accepted.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** accounts = [[""Gabe""""Gabe0@m.co""""Gabe3@m.co""""Gabe1@m.co""][""Kevin""""Kevin3@m.co""""Kevin5@m.co""""Kevin0@m.co""][""Ethan""""Ethan5@m.co""""Ethan4@m.co""""Ethan0@m.co""][""Hanzo""""Hanzo3@m.co""""Hanzo1@m.co""""Hanzo0@m.co""][""Fern""""Fern5@m.co""""Fern1@m.co""""Fern0@m.co""]]\n    **Output:** [[""Ethan""""Ethan0@m.co""""Ethan4@m.co""""Ethan5@m.co""][""Gabe""""Gabe0@m.co""""Gabe1@m.co""""Gabe3@m.co""][""Hanzo""""Hanzo0@m.co""""Hanzo1@m.co""""Hanzo3@m.co""][""Kevin""""Kevin0@m.co""""Kevin3@m.co""""Kevin5@m.co""][""Fern""""Fern0@m.co""""Fern1@m.co""""Fern5@m.co""]]\n    \n\n\n\n**Constraints:**\n\n  * `1 <= accounts.length <= 1000`\n  * `2 <= accounts[i].length <= 10`\n  * `1 <= accounts[i][j].length <= 30`\n  * `accounts[i][0]` consists of English letters.\n  * `accounts[i][j] (for j > 0)` is a valid email.\n\n",class Solution:\n    def accountsMerge(self accounts: List[List[str]]) -> List[List[str]]:\n        def merge(accounts):\n            res = []\n            ls = []\n            for i in range(len(accounts)):\n                temp = list(set(accounts[i][1:]))\n                temp.sort()\n                temp = [accounts[i][0]] + temp\n                if i in ls:\n                    continue\n                for j in range(len(accounts[i:])):\n                    s = i+j\n                    if i == s:\n                        continue\n                    if accounts[i][0] != accounts[s][0]:\n                        continue\n                    temp3 = list(set(accounts[s][1:]))\n                    uni = list(set(temp[1:]) | set(temp3))\n                    if len(uni) < len(temp[1:]) + len(temp3):\n                        temp1 = list(set(temp[1:]) | set(temp3))\n                        temp = [temp[0]] + temp1 \n                        ls.append(s)\n                temp0 = temp[1:]\n                temp0.sort()\n                temp = [temp[0]]+temp0\n                res.append(temp)\n            return res\n        merged = merge(accounts)\n        while merge(merged) != merged:\n            merged = merge(merged)\n\n        return merged\n
Add Binary,"###  67\. Add Binary\n\nGiven two binary strings `a` and `b` return _their sum as a binary string_.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** a = ""11"" b = ""1""\n    **Output:** ""100""\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** a = ""1010"" b = ""1011""\n    **Output:** ""10101""\n    \n\n\n\n**Constraints:**\n\n  * `1 <= a.length b.length <= 104`\n  * `a` and `b` consist only of `'0'` or `'1'` characters.\n  * Each string does not contain leading zeros except for the zero itself.\n\n","class Solution(object):\n    def addBinary(self a b):\n        """"""\n        :type a: str\n        :type b: str\n        :rtype: str\n        """"""\n\n        return str(bin(int(a base = 2)+int(b base = 2)))[2:]\n"
Add Digits,###  258\. Add Digits\n\nGiven an integer `num` repeatedly add all its digits until the result has\nonly one digit and return it.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** num = 38\n    **Output:** 2\n    **Explanation:** The process is\n    38 --> 3 + 8 --> 11\n    11 --> 1 + 1 --> 2 \n    Since 2 has only one digit return it.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** num = 0\n    **Output:** 0\n    \n\n\n\n**Constraints:**\n\n  * `0 <= num <= 231 - 1`\n\n\n\n**Follow up:** Could you do it without any loop/recursion in `O(1)` runtime?\n\n,// Runtime: 45 ms (Top 20.34%) | Memory: 16.40 MB (Top 13.14%)\n\nclass Solution:\n    def addDigits(self num: int) -> int:\n        while num > 9:\n            num = num % 10 + num // 10\n        return num\n
Add Minimum Number of Rungs,###  1936\. Add Minimum Number of Rungs\n\nYou are given a **strictly increasing** integer array `rungs` that represents\nthe **height** of rungs on a ladder. You are currently on the **floor** at\nheight `0` and you want to reach the last rung.\n\nYou are also given an integer `dist`. You can only climb to the next highest\nrung if the distance between where you are currently at (the floor or on a\nrung) and the next rung is **at most** `dist`. You are able to insert rungs at\nany positive **integer** height if a rung is not already there.\n\nReturn _the**minimum** number of rungs that must be added to the ladder in\norder for you to climb to the last rung._\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** rungs = [13510] dist = 2\n    **Output:** 2\n    **Explanation:** You currently cannot reach the last rung.\n    Add rungs at heights 7 and 8 to climb this ladder. \n    The ladder will now have rungs at [135_7_ _8_ 10].\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** rungs = [36810] dist = 3\n    **Output:** 0\n    **Explanation:**\n    This ladder can be climbed without adding additional rungs.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** rungs = [3467] dist = 2\n    **Output:** 1\n    **Explanation:**\n    You currently cannot reach the first rung from the ground.\n    Add a rung at height 1 to climb this ladder.\n    The ladder will now have rungs at [_1_ 3467].\n    \n\n\n\n**Constraints:**\n\n  * `1 <= rungs.length <= 105`\n  * `1 <= rungs[i] <= 109`\n  * `1 <= dist <= 109`\n  * `rungs` is **strictly increasing**.\n\n,class Solution:\n    def addRungs(self rungs: List[int] dist: int) -> int:\n        rungs=[0]+rungs\n        ians=10\n        while i<len(rungs): \n            if rungs[i]-rungs[i-1] > dist:\n                ans+=ceil((rungs[i]-rungs[i-1])/dist)-1\n            i+=1\n        return ans\n\n\n\n            
Add One Row to Tree,###  623\. Add One Row to Tree\n\nGiven the `root` of a binary tree and two integers `val` and `depth` add a\nrow of nodes with value `val` at the given depth `depth`.\n\nNote that the `root` node is at depth `1`.\n\nThe adding rule is:\n\n  * Given the integer `depth` for each not null tree node `cur` at the depth `depth - 1` create two tree nodes with value `val` as `cur`'s left subtree root and right subtree root.\n  * `cur`'s original left subtree should be the left subtree of the new left subtree root.\n  * `cur`'s original right subtree should be the right subtree of the new right subtree root.\n  * If `depth == 1` that means there is no depth `depth - 1` at all then create a tree node with value `val` as the new root of the whole original tree and the original tree is the new root's left subtree.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2021/03/15/addrow-tree.jpg)\n\n    \n    \n    **Input:** root = [426315] val = 1 depth = 2\n    **Output:** [4112nullnull6315]\n    \n\n**Example 2:**\n\n![](https://assets.leetcode.com/uploads/2021/03/11/add2-tree.jpg)\n\n    \n    \n    **Input:** root = [42null31] val = 1 depth = 3\n    **Output:** [42null113nullnull1]\n    \n\n\n\n**Constraints:**\n\n  * The number of nodes in the tree is in the range `[1 104]`.\n  * The depth of the tree is in the range `[1 104]`.\n  * `-100 <= Node.val <= 100`\n  * `-105 <= val <= 105`\n  * `1 <= depth <= the depth of tree + 1`\n\n,// Runtime: 77 ms (Top 6.3%) | Memory: 18.50 MB (Top 98.9%)\n\nclass Solution:\n    def addOneRow(self root: TreeNode v: int d: int) -> TreeNode:\n        if d == 1: return TreeNode(v root None)\n        elif d == 2:\n            root.left = TreeNode(v root.left None)\n            root.right = TreeNode(v None root.right)\n        else:\n            if root.left: self.addOneRow(root.left v d-1)\n            if root.right: self.addOneRow(root.right v d-1)\n        return root\n
Add Strings,"###  415\. Add Strings\n\nGiven two non-negative integers `num1` and `num2` represented as string\nreturn _the sum of_ `num1` _and_ `num2` _as a string_.\n\nYou must solve the problem without using any built-in library for handling\nlarge integers (such as `BigInteger`). You must also not convert the inputs to\nintegers directly.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** num1 = ""11"" num2 = ""123""\n    **Output:** ""134""\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** num1 = ""456"" num2 = ""77""\n    **Output:** ""533""\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** num1 = ""0"" num2 = ""0""\n    **Output:** ""0""\n    \n\n\n\n**Constraints:**\n\n  * `1 <= num1.length num2.length <= 104`\n  * `num1` and `num2` consist of only digits.\n  * `num1` and `num2` don't have any leading zeros except for the zero itself.\n\n",class Solution:\n    def addStrings(self num1: str num2: str) -> str:\n        def func(n):\n            value = {'0':0 '1':1 '2':2 '3':3 '4':4 '5':5 '6':6 '7':7 '8':8 '9':9}\n            result = 0\n            for digit in n:\n                result = 10 * result + value[digit]\n\n            return result\n\n        ans = func(num1) + func(num2)\n        return str(ans)
Add to Array-Form of Integer,###  989\. Add to Array-Form of Integer\n\nThe **array-form** of an integer `num` is an array representing its digits in\nleft to right order.\n\n  * For example for `num = 1321` the array form is `[1321]`.\n\nGiven `num` the **array-form** of an integer and an integer `k` return\n_the**array-form** of the integer_ `num + k`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** num = [1200] k = 34\n    **Output:** [1234]\n    **Explanation:** 1200 + 34 = 1234\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** num = [274] k = 181\n    **Output:** [455]\n    **Explanation:** 274 + 181 = 455\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** num = [215] k = 806\n    **Output:** [1021]\n    **Explanation:** 215 + 806 = 1021\n    \n\n\n\n**Constraints:**\n\n  * `1 <= num.length <= 104`\n  * `0 <= num[i] <= 9`\n  * `num` does not contain any leading zeros except for the zero itself.\n  * `1 <= k <= 104`\n\n,"// Runtime: 384 ms (Top 73.70%) | Memory: 15 MB (Top 73.95%)\nclass Solution:\n    def addToArrayForm(self num: List[int] k: int) -> List[int]:\n        return list(str(int("""".join(map(strnum)))+k))"
Add Two Numbers,###  2\. Add Two Numbers\n\nYou are given two **non-empty** linked lists representing two non-negative\nintegers. The digits are stored in **reverse order**  and each of their nodes\ncontains a single digit. Add the two numbers and return the sum as a linked\nlist.\n\nYou may assume the two numbers do not contain any leading zero except the\nnumber 0 itself.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2020/10/02/addtwonumber1.jpg)\n\n    \n    \n    **Input:** l1 = [243] l2 = [564]\n    **Output:** [708]\n    **Explanation:** 342 + 465 = 807.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** l1 = [0] l2 = [0]\n    **Output:** [0]\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** l1 = [9999999] l2 = [9999]\n    **Output:** [89990001]\n    \n\n\n\n**Constraints:**\n\n  * The number of nodes in each linked list is in the range `[1 100]`.\n  * `0 <= Node.val <= 9`\n  * It is guaranteed that the list represents a number that does not have leading zeros.\n\n,// Runtime: 74 ms (Top 13.64%) | Memory: 16.40 MB (Top 51.59%)\n\nclass Solution:\n    def addTwoNumbers(self l1: ListNode l2: ListNode) -> ListNode:\n        dummyHead = ListNode(0)\n        tail = dummyHead\n        carry = 0\n\n        while l1 is not None or l2 is not None or carry != 0:\n            digit1 = l1.val if l1 is not None else 0\n            digit2 = l2.val if l2 is not None else 0\n\n            sum = digit1 + digit2 + carry\n            digit = sum % 10\n            carry = sum // 10\n\n            newNode = ListNode(digit)\n            tail.next = newNode\n            tail = tail.next\n\n            l1 = l1.next if l1 is not None else None\n            l2 = l2.next if l2 is not None else None\n\n        result = dummyHead.next\n        dummyHead.next = None\n        return result\n
Add Two Numbers II,###  445\. Add Two Numbers II\n\nYou are given two **non-empty** linked lists representing two non-negative\nintegers. The most significant digit comes first and each of their nodes\ncontains a single digit. Add the two numbers and return the sum as a linked\nlist.\n\nYou may assume the two numbers do not contain any leading zero except the\nnumber 0 itself.\n\n\n\n**Example 1:**\n\n![](https://assets.leetcode.com/uploads/2021/04/09/sumii-linked-list.jpg)\n\n    \n    \n    **Input:** l1 = [7243] l2 = [564]\n    **Output:** [7807]\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** l1 = [243] l2 = [564]\n    **Output:** [807]\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** l1 = [0] l2 = [0]\n    **Output:** [0]\n    \n\n\n\n**Constraints:**\n\n  * The number of nodes in each linked list is in the range `[1 100]`.\n  * `0 <= Node.val <= 9`\n  * It is guaranteed that the list represents a number that does not have leading zeros.\n\n\n\n**Follow up:**  Could you solve it without reversing the input lists?\n\n,class Solution:\n    def addTwoNumbers(self l1: Optional[ListNode] l2: Optional[ListNode]) -> Optional[ListNode]:\n        def number(head):\n            ans = ''\n            while head:\n                ans+=str(head.val)\n                head = head.next\n            return int(ans) \n        temp = dummy = ListNode(0)\n        for i in str(number(l1) + number(l2)):\n            temp.next = ListNode(i)\n            temp = temp.next\n        return dummy.next\n      \n\n
Adding Spaces to a String,"###  2109\. Adding Spaces to a String\n\nYou are given a **0-indexed** string `s` and a **0-indexed** integer array\n`spaces` that describes the indices in the original string where spaces will\nbe added. Each space should be inserted **before** the character at the given\nindex.\n\n  * For example given `s = ""EnjoyYourCoffee""` and `spaces = [5 9]` we place spaces before `'Y'` and `'C'` which are at indices `5` and `9` respectively. Thus we obtain `""Enjoy **_Y_** our _**C**_ offee""`.\n\nReturn****_the modified string**after** the spaces have been added._\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** s = ""LeetcodeHelpsMeLearn"" spaces = [81315]\n    **Output:** ""Leetcode Helps Me Learn""\n    **Explanation:** \n    The indices 8 13 and 15 correspond to the underlined characters in ""Leetcode _**H**_ elps _**M**_ e _**L**_ earn"".\n    We then place spaces before those characters.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** s = ""icodeinpython"" spaces = [1579]\n    **Output:** ""i code in py thon""\n    **Explanation:**\n    The indices 1 5 7 and 9 correspond to the underlined characters in ""i _**c**_ ode _**i**_ n _**p**_ y _**t**_ hon"".\n    We then place spaces before those characters.\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** s = ""spacing"" spaces = [0123456]\n    **Output:** "" s p a c i n g""\n    **Explanation:**\n    We are also able to place spaces before the first character of the string.\n    \n\n\n\n**Constraints:**\n\n  * `1 <= s.length <= 3 * 105`\n  * `s` consists only of lowercase and uppercase English letters.\n  * `1 <= spaces.length <= 3 * 105`\n  * `0 <= spaces[i] <= s.length - 1`\n  * All the values of `spaces` are **strictly increasing**.\n\n","// Runtime: 460 ms (Top 99.07%) | Memory: 53.10 MB (Top 90.93%)\n\nclass Solution:\n    def addSpaces(self s: str spaces: List[int]) -> str:\n        \n        arr = []\n        prev = 0\n        for space in spaces:\n            arr.append(s[prev:space])\n            prev = space\n        arr.append(s[space:])\n       \n        return "" "".join(arr)\n"
Adding Two Negabinary Numbers,###  1073\. Adding Two Negabinary Numbers\n\nGiven two numbers `arr1` and `arr2` in base **-2**  return the result of\nadding them together.\n\nEach number is given in _array format_ :  as an array of 0s and 1s from most\nsignificant bit to least significant bit.  For example `arr = [1101]`\nrepresents the number `(-2)^3 + (-2)^2 + (-2)^0 = -3`.  A number `arr` in\n_array format_ is also guaranteed to have no leading zeros: either `arr ==\n[0]` or `arr[0] == 1`.\n\nReturn the result of adding `arr1` and `arr2` in the same format: as an array\nof 0s and 1s with no leading zeros.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** arr1 = [11111] arr2 = [101]\n    **Output:** [10000]\n    **Explanation:** arr1 represents 11 arr2 represents 5 the output represents 16.\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** arr1 = [0] arr2 = [0]\n    **Output:** [0]\n    \n\n**Example 3:**\n\n    \n    \n    **Input:** arr1 = [0] arr2 = [1]\n    **Output:** [1]\n    \n\n\n\n**Constraints:**\n\n  * `1 <= arr1.length arr2.length <= 1000`\n  * `arr1[i]` and `arr2[i]` are `0` or `1`\n  * `arr1` and `arr2` have no leading zeros\n\n,"class Solution:\n    def addNegabinary(self arr1: List[int] arr2: List[int]) -> List[int]:\n        \n        //final answer\n        new = []\n        carry = 0\n        \n		//make arrays length equal \n        if len(arr1) < len(arr2):\n            diff = len(arr2) - len(arr1)\n            arr1 = ([0] * diff) + arr1\n        \n        if len(arr1) > len(arr2):\n            diff = len(arr1) - len(arr2)\n            arr2 = ([0] * diff) + arr2\n            \n            \n        \n        //add values at every index and set carry and new value appropriately\n        while arr1 and arr2:\n            \n            top = arr1.pop()\n            down = arr2.pop()\n            \n            add = top + down + carry\n            \n            if add == -1:\n                new = [1] + new\n                carry = 1\n            \n            elif add == 1 or add == 0:\n                new =  [add] + new\n                carry = 0\n                \n            elif add == 2:\n                new = [0] + new\n                carry = -1\n            \n            else:\n                new = [1] + new\n                carry = -1\n                \n         // if carry -1 add 1 1 since -1 is 11 in negabinary\n        if carry == -1:\n            new = [11] + new\n            \n		//remove any leading zeros\n        while new[0] == 0 and len(new) >1:\n            new = new[1:]\n            \n        return new\n"
Additive Number,"###  306\. Additive Number\n\nAn **additive number** is a string whose digits can form an **additive\nsequence**.\n\nA valid **additive sequence** should contain **at least** three numbers.\nExcept for the first two numbers each subsequent number in the sequence must\nbe the sum of the preceding two.\n\nGiven a string containing only digits return `true` if it is an **additive\nnumber** or `false` otherwise.\n\n**Note:** Numbers in the additive sequence **cannot** have leading zeros so\nsequence `1 2 03` or `1 02 3` is invalid.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** ""112358""\n    **Output:** true\n    **Explanation:** \n    The digits can form an additive sequence: 1 1 2 3 5 8. \n    1 + 1 = 2 1 + 2 = 3 2 + 3 = 5 3 + 5 = 8\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** ""199100199""\n    **Output:** true\n    **Explanation:** \n    The additive sequence is: 1 99 100 199. \n    1 + 99 = 100 99 + 100 = 199\n    \n\n\n\n**Constraints:**\n\n  * `1 <= num.length <= 35`\n  * `num` consists only of digits.\n\n\n\n**Follow up:** How would you handle overflow for very large input integers?\n\n","class Solution:\ndef isAdditiveNumber(self num: str) -> bool:\n    \n    def isadditive(num1num2st):\n        if len(st) == 0:\n            return True\n        num3 = str(num1+num2)\n        l = len(num3)\n        return num3 == st[:l] and isadditive(num2int(num3)st[l:])\n    \n    for i in range(1len(num)-1):\n        for j in range(i+1len(num)):\n            if num [0] == ""0"" and i != 1:\n                break\n            if num[i] == ""0"" and i+1 != j:\n                break\n           \n            if isadditive(int(num[:i])int(num[i:j])num[j:]):\n                \n                return True\n    return False\n"
Advantage Shuffle,###  870\. Advantage Shuffle\n\nYou are given two integer arrays `nums1` and `nums2` both of the same length.\nThe **advantage** of `nums1` with respect to `nums2` is the number of indices\n`i` for which `nums1[i] > nums2[i]`.\n\nReturn _any permutation of_`nums1` _that maximizes its**advantage** with\nrespect to _`nums2`.\n\n\n\n**Example 1:**\n\n    \n    \n    **Input:** nums1 = [271115] nums2 = [110411]\n    **Output:** [211715]\n    \n\n**Example 2:**\n\n    \n    \n    **Input:** nums1 = [1224832] nums2 = [13253211]\n    **Output:** [2432812]\n    \n\n\n\n**Constraints:**\n\n  * `1 <= nums1.length <= 105`\n  * `nums2.length == nums1.length`\n  * `0 <= nums1[i] nums2[i] <= 109`\n\n,class Solution:\n    def advantageCount(self nums1: List[int] nums2: List[int]) -> List[int]:\n        # sort by ascend order\n        nums1.sort()\n\n        # heapq in python is a minimal heap so if we need to use a maximal heap the element in the queue should be like: (-num index)\n        q = []\n        for i n in enumerate(nums2):\n            heapq.heappush(q (-n i))\n\n        n = len(nums1)\n        l = 0\n        r = n - 1\n        ans = [0] * n\n\n        while q:\n            # pop out the maximum number from nums2\n            num i = heapq.heappop(q)\n            num = -num\n\n            # no number in nums1 > max number in nums2 so grap the minimum numer from nums1\n            if nums1[r] <= num:\n                ans[i] = nums1[l]\n                l += 1\n            else:\n                ans[i] = nums1[r]\n                r -= 1\n\n        return ans
